,snr,svm_train,svm_valid,svm_ar_train,svm_ar_valid,cnn1d_train,cnn1d_valid,cnn2d_train,cnn2d_valid,ar_train,ar_valid
57,0.75,0.999714286,0.462929053,1,0.495466421,0.996693945,1,0.516390494,0.605963463,0.998030916,1
58,0.75,0.5,0.5,0.5,0.5,0.997069768,1,0.815110421,0.559550202,0.999358151,1
59,0.75,0.998384197,0.496033564,1,0.509905833,0.998341879,1,0.995306852,0.582122617,0.999307479,1
60,0.8,0.995334867,0.509707691,0.5,0.5,1,1,0.627930321,0.562207409,1,0.997321429
61,0.8,0.587968918,0.507142857,1,0.487531328,0.997819384,1,0.580372951,0.562434113,0.999378655,1
62,0.8,0.555242171,0.492440356,0.5523099,0.494350282,0.992152056,1,0.53285959,0.606854989,1,1
63,0.8,0.5,0.5,1,0.53761222,0.997128074,1,0.785642843,0.551534895,0.999686717,1
64,0.85,0.5,0.5,0.535732139,0.5,0.995030764,1,0.850808444,0.58980938,0.998324976,1
65,0.8,0.57607102,0.500223214,0.541470086,0.5,0.998412453,1,0.586462205,0.524618311,0.997894054,1
66,0.85,0.5,0.5,1,0.50603526,0.99213177,1,0.636056325,0.562307752,0.998874903,1
67,0.85,0.994555874,0.492602751,1,0.491891024,0.995135173,1,0.512192534,0.554789146,0.999713959,1
68,0.85,0.996014298,0.467079216,1,0.461444034,0.996122033,1,0.958776499,0.512713578,0.992420714,1
69,0.85,0.564135356,0.502560619,0.568519832,0.495073892,0.998704031,1,0.79497229,0.597794514,0.998388829,1
70,0.9,0.972708508,0.505532009,1,0.50438054,0.995446735,1,0.503778074,0.557565789,0.997046881,1
71,0.9,0.5,0.5,0.5,0.5,0.996855368,1,0.780439348,0.568620584,0.994716027,1
72,0.9,0.5,0.5,1,0.508215919,0.998841435,1,0.99513735,0.565382589,0.998603399,1
73,0.9,0.990063896,0.475340449,0.5,0.5,0.998282196,1,0.557580388,0.620387107,0.997960188,1
74,0.95,0.578724743,0.510047847,0.583946488,0.5,0.996314207,1,0.522198892,0.522816411,0.998153613,1
75,0.9,0.550032328,0.476435407,0.5,0.5,0.998842833,1,0.522857427,0.562473615,0.995080781,1
76,0.95,0.5,0.5,1,0.522080882,0.997981288,1,0.52048077,0.654119318,0.999427647,1
77,0.95,0.987208578,0.440318302,1,0.472994963,0.997447839,1,0.50650672,0.605197505,0.998481665,1
78,0.95,0.564001903,0.489593857,0.540657831,0.5,0.99674997,1,0.597771637,0.605121463,0.998606039,1
79,0.95,0.564540439,0.519446162,0.529475718,0.5,0.99796913,1,0.561082509,0.615596733,0.999324792,1
80,1,0.5,0.5,0.5,0.5,0.998861651,1,0.51056085,0.52758826,0.999725877,1
81,1,0.5,0.5,1,0.466437773,0.992723378,1,0.496420222,0.554886752,0.999342105,1
82,1,0.539774797,0.499987679,0.52591067,0.5,0.997159367,1,0.526565837,0.574966002,0.997521765,1
83,1,0.5,0.5,0.5,0.5,0.997349131,1,1,0.548908726,0.99863518,1
84,1,0.978379941,0.477210401,0.5,0.5,0.997783853,1,0.589234092,0.553453373,0.999451754,1
85,1.05,0.5,0.5,1,0.492242778,0.99711861,1,0.51320592,0.607718654,0.998495704,1
86,1.05,0.931931481,0.491463511,0.5,0.5,0.997001859,1,0.514721337,0.521825678,0.995578818,1
87,1.05,0.5,0.5,0.5,0.5,0.997286559,1,0.523838409,0.607691329,0.997238067,1
88,1.05,0.5,0.5,0.5,0.5,0.993257459,1,0.550792096,0.559550447,0.995547183,1
89,1.05,0.5,0.5,0.5,0.5,0.993775216,1,0.531673694,0.544581624,0.999015222,1
90,1.1,0.5,0.5,0.5,0.5,0.998846534,1,0.527643914,0.53036512,0.999432428,1
91,1.1,0.546865938,0.515461019,0.5,0.5,0.999100764,1,0.622875436,0.527920511,1,1
92,1.1,0.5,0.5,0.513375222,0.5,0.996952357,1,0.511907405,0.602,0.996335534,1
93,1.1,0.970931362,0.505399597,0.5,0.5,0.996771413,1,0.516738164,0.55648336,0.998482768,1
94,1.15,0.96001314,0.528412231,0.5,0.5,0.998386751,1,0.645538857,0.564326238,1,1
95,1.1,0.969405003,0.469976077,0.5,0.5,0.993286254,1,0.729191303,0.527923218,0.996879013,1
96,1.15,0.5,0.5,0.540721199,0.5,0.997968839,1,0.769320923,0.577285717,0.997791862,1
97,1.15,0.5,0.5,1,0.50937599,0.995575973,1,0.651996681,0.566828603,0.997393604,1
98,1.15,0.5,0.5,0.616015701,0.455768654,0.99849783,1,0.995391889,0.569366337,0.997938739,1
99,1.15,0.5,0.5,0.5,0.5,0.994208472,1,0.557739438,0.619625767,0.998500673,1
100,1.2,0.5,0.5,0.532999601,0.5,0.997819512,1,0.481931718,0.554477363,0.999382663,1
101,1.2,0.5,0.5,0.5,0.5,0.995982523,1,0.927848539,0.564834382,0.997596661,1
102,1.2,0.5,0.5,1,0.480772009,0.98684682,1,0.59117788,0.562664012,0.99573936,1
103,1.2,0.548086945,0.475824176,0.5,0.5,0.990771277,1,0.496578402,0.572500577,0.992078873,1
104,1.2,0.5,0.5,0.5,0.5,0.995769474,1,0.981069625,0.550194319,0.998572048,1
105,1.25,0.5,0.5,1,0.487963256,0.995535853,1,0.509432577,0.554166667,0.99851737,1
106,1.25,0.549142059,0.497333807,0.62763337,0.472933176,0.99757984,1,0.548542896,0.570753651,0.997360567,1
107,1.25,0.5,0.5,1,0.444044798,0.998698399,1,0.73314103,0.540856532,0.998926356,1
108,1.25,0.5,0.5,1,0.50792721,0.997110337,1,0.543000722,0.639773023,1,1
109,1.25,0.5,0.5,0.5,0.5,0.994965953,1,0.510281275,0.558371686,0.999354548,1
110,1.3,0.5,0.5,1,0.527561877,0.996565347,1,0.788832592,0.528588521,0.996251429,1
111,1.3,0.932935057,0.507449202,1,0.537479386,0.997063734,1,0.544429296,0.568932577,0.997710569,1
112,1.3,0.549081161,0.516028708,0.5,0.5,0.996678303,1,0.69799756,0.538777982,0.999307479,1
113,1.3,0.56873331,0.473849954,0.5,0.5,0.994547548,1,0.867235207,0.560994915,0.999092614,1
114,1.3,0.5,0.5,0.5,0.5,0.999679076,1,0.590775044,0.558203235,0.998700514,1
115,1.35,0.538971353,0.501044695,0.5,0.5,0.997881993,1,0.539578701,0.570885617,0.998607006,1
116,1.35,0.541491999,0.50951087,0.5,0.5,0.997326468,1,0.603128918,0.619237995,0.9975992,1
117,1.35,0.5,0.5,0.5,0.5,0.983196521,1,0.573736461,0.570296596,0.998248183,1
118,1.35,0.5,0.5,1,0.499725927,0.997952892,1,0.504539068,0.605177005,0.999423559,1
119,1.35,0.571814437,0.507417378,0.568702807,0.5,0.99539503,1,0.86352689,0.571177579,0.998792809,1
120,1.45,0.5,0.5,0.5,0.5,0.996786801,1,0.503327925,0.553846154,0.999074391,1
121,1.4,0.569313642,0.489043979,0.781610608,0.421003013,0.999331662,1,0.642128823,0.62012745,1,1
122,1.45,0.5,0.5,0.5,0.5,0.997555291,1,0.529634341,0.612529513,0.997804949,1
123,1.4,0.549874369,0.500669468,1,0.546996543,0.997796957,1,0.577038264,0.522414349,0.995457571,1
124,1.45,0.54355025,0.500239234,0.517439022,0.5,0.996561199,1,0.577518236,0.587817295,0.997534245,1
125,1.4,0.5,0.5,0.5,0.5,0.998683132,1,0.716258437,0.574308434,0.996617829,1
126,1.4,0.942129816,0.501066856,1,0.5164959,0.998622039,1,0.576737605,0.510831435,1,1
127,1.4,0.5,0.5,0.547514864,0.498800959,0.997077471,1,0.639568565,0.580812107,0.998076186,1
128,1.45,0.548018528,0.498108273,0.5,0.5,0.997282373,1,0.938924068,0.527201672,0.999226006,1
129,1.5,0.5,0.5,1,0.471556867,0.997748387,1,0.608490208,0.572004787,0.999512671,1
